date,sku_id,opening_stock,stock_received,quantity_sold,returns,adjustments,closing_stock
2026-08-01,P01-S-WHITE,17,0,0,0,0,17
2026-08-01,P01-S-BLACK,17,0,0,0,0,17
2026-08-01,P01-S-NAVY,19,0,0,0,0,19
2026-08-01,P01-S-OLIVE,19,0,0,0,0,19
2026-08-01,P01-M-WHITE,17,0,0,0,0,17
2026-08-01,P01-M-BLACK,20,0,6,0,0,14
2026-08-01,P01-M-NAVY,21,0,2,0,0,19
2026-08-01,P01-M-OLIVE,20,0,2,0,0,18
2026-08-01,P01-L-WHITE,20,0,1,0,0,19
2026-08-01,P01-L-BLACK,19,0,1,0,0,18
2026-08-01,P01-L-NAVY,21,0,2,0,0,19
2026-08-01,P01-L-OLIVE,17,0,0,0,0,17
2026-08-01,P01-XL-WHITE,21,0,0,0,0,21
2026-08-01,P01-XL-BLACK,21,0,0,0,0,21
2026-08-01,P01-XL-NAVY,21,0,1,0,0,20
2026-08-01,P01-XL-OLIVE,20,0,0,0,0,20
2026-08-01,P02-S-NAVY,13,0,1,0,0,12
2026-08-01,P02-S-MAROON,13,0,1,0,0,12
2026-08-01,P02-S-GREY,17,0,0,0,0,17
2026-08-01,P02-M-NAVY,13,0,3,0,0,10
2026-08-01,P02-M-MAROON,15,0,2,0,0,13
2026-08-01,P02-M-GREY,12,0,0,0,0,12
2026-08-01,P02-L-NAVY,16,0,1,0,0,15
2026-08-01,P02-L-MAROON,14,0,0,0,0,14
2026-08-01,P02-L-GREY,12,0,2,0,0,10
2026-08-01,P02-XL-NAVY,16,0,0,0,0,16
2026-08-01,P02-XL-MAROON,13,0,3,0,0,10
2026-08-01,P02-XL-GREY,16,0,3,0,0,13
2026-08-01,P03-30-NAVY,18,0,0,0,0,18
2026-08-01,P03-30-BLACK,16,0,1,0,0,15
2026-08-01,P03-30-LIGHTBLU,18,0,0,0,0,18
2026-08-01,P03-32-NAVY,17,0,0,0,0,17
2026-08-01,P03-32-BLACK,18,0,0,0,0,18
2026-08-01,P03-32-LIGHTBLU,17,0,1,0,0,16
2026-08-01,P03-34-NAVY,14,0,0,0,0,14
2026-08-01,P03-34-BLACK,15,0,0,0,0,15
2026-08-01,P03-34-LIGHTBLU,15,0,2,0,0,13
2026-08-01,P03-36-NAVY,31,0,0,0,0,31
2026-08-01,P03-36-BLACK,32,0,1,0,0,31
2026-08-01,P03-36-LIGHTBLU,30,0,0,0,0,30
2026-08-01,P04-30-BEIGE,13,0,1,0,0,12
2026-08-01,P04-30-OLIVE,15,0,1,0,0,14
2026-08-01,P04-30-NAVY,15,0,0,0,0,15
2026-08-01,P04-32-BEIGE,12,0,0,0,0,12
2026-08-01,P04-32-OLIVE,14,0,0,0,0,14
2026-08-01,P04-32-NAVY,14,0,0,0,0,14
2026-08-01,P04-34-BEIGE,15,0,1,0,0,14
2026-08-01,P04-34-OLIVE,11,0,1,0,0,10
2026-08-01,P04-34-NAVY,14,0,0,0,0,14
2026-08-01,P04-36-BEIGE,12,0,1,0,0,11
2026-08-01,P04-36-OLIVE,12,0,1,0,0,11
2026-08-01,P04-36-NAVY,12,0,0,0,0,12
2026-08-01,P05-S-WHITE,16,0,0,0,0,16
2026-08-01,P05-S-BLUE,17,0,1,0,0,16
2026-08-01,P05-S-GREY,17,0,1,0,0,16
2026-08-01,P05-M-WHITE,14,0,2,0,0,12
2026-08-01,P05-M-BLUE,14,0,0,0,0,14
2026-08-01,P05-M-GREY,12,0,0,0,0,12
2026-08-01,P05-L-WHITE,17,0,3,0,0,14
2026-08-01,P05-L-BLUE,12,0,0,0,0,12
2026-08-01,P05-L-GREY,14,0,0,0,0,14
2026-08-01,P05-XL-WHITE,15,0,0,0,0,15
2026-08-01,P05-XL-BLUE,15,0,0,0,0,15
2026-08-01,P05-XL-GREY,13,0,0,0,0,13
2026-08-01,P06-S-BLACK,18,0,2,0,0,16
2026-08-01,P06-S-WHITE,18,0,0,0,0,18
2026-08-01,P06-S-RED,14,0,0,0,0,14
2026-08-01,P06-M-BLACK,15,0,3,0,0,12
2026-08-01,P06-M-WHITE,13,0,1,0,0,12
2026-08-01,P06-M-RED,13,0,2,0,0,11
2026-08-01,P06-L-BLACK,16,0,1,0,0,15
2026-08-01,P06-L-WHITE,16,0,1,0,0,15
2026-08-01,P06-L-RED,17,0,3,0,0,14
2026-08-01,P06-XL-BLACK,13,0,2,0,0,11
2026-08-01,P06-XL-WHITE,14,0,0,0,0,14
2026-08-01,P06-XL-RED,13,0,0,0,0,13
2026-08-01,P07-XS-MUSTARD,20,0,0,0,0,20
2026-08-01,P07-XS-TEAL,16,0,0,0,0,16
2026-08-01,P07-XS-MAROON,18,0,1,0,0,17
2026-08-01,P07-S-MUSTARD,16,0,2,0,0,14
