sku_id,product_name,category,subcategory,store_section,size,color,MRP,cost_price,season_status
P01-S-WHITE,Basic Crew T-Shirt,Tops,T-Shirts,Men,S,White,399.00,158.00,Core
P01-S-BLACK,Basic Crew T-Shirt,Tops,T-Shirts,Men,S,Black,399.00,158.00,Core
P01-S-NAVY,Basic Crew T-Shirt,Tops,T-Shirts,Men,S,Navy,399.00,158.00,Core
P01-S-OLIVE,Basic Crew T-Shirt,Tops,T-Shirts,Men,S,Olive,399.00,158.00,Core
P01-M-WHITE,Basic Crew T-Shirt,Tops,T-Shirts,Men,M,White,399.00,158.00,Core
P01-M-BLACK,Basic Crew T-Shirt,Tops,T-Shirts,Men,M,Black,399.00,158.00,Core
P01-M-NAVY,Basic Crew T-Shirt,Tops,T-Shirts,Men,M,Navy,399.00,158.00,Core
P01-M-OLIVE,Basic Crew T-Shirt,Tops,T-Shirts,Men,M,Olive,399.00,158.00,Core
P01-L-WHITE,Basic Crew T-Shirt,Tops,T-Shirts,Men,L,White,399.00,158.00,Core
P01-L-BLACK,Basic Crew T-Shirt,Tops,T-Shirts,Men,L,Black,399.00,158.00,Core
P01-L-NAVY,Basic Crew T-Shirt,Tops,T-Shirts,Men,L,Navy,399.00,158.00,Core
P01-L-OLIVE,Basic Crew T-Shirt,Tops,T-Shirts,Men,L,Olive,399.00,158.00,Core
P01-XL-WHITE,Basic Crew T-Shirt,Tops,T-Shirts,Men,XL,White,399.00,158.00,Core
P01-XL-BLACK,Basic Crew T-Shirt,Tops,T-Shirts,Men,XL,Black,399.00,158.00,Core
P01-XL-NAVY,Basic Crew T-Shirt,Tops,T-Shirts,Men,XL,Navy,399.00,158.00,Core
P01-XL-OLIVE,Basic Crew T-Shirt,Tops,T-Shirts,Men,XL,Olive,399.00,158.00,Core
P02-S-NAVY,Polo T-Shirt,Tops,T-Shirts,Men,S,Navy,699.00,292.00,Core
P02-S-MAROON,Polo T-Shirt,Tops,T-Shirts,Men,S,Maroon,699.00,292.00,Core
P02-S-GREY,Polo T-Shirt,Tops,T-Shirts,Men,S,Grey,699.00,292.00,Core
P02-M-NAVY,Polo T-Shirt,Tops,T-Shirts,Men,M,Navy,699.00,292.00,Core
P02-M-MAROON,Polo T-Shirt,Tops,T-Shirts,Men,M,Maroon,699.00,292.00,Core
P02-M-GREY,Polo T-Shirt,Tops,T-Shirts,Men,M,Grey,699.00,292.00,Core
P02-L-NAVY,Polo T-Shirt,Tops,T-Shirts,Men,L,Navy,699.00,292.00,Core
P02-L-MAROON,Polo T-Shirt,Tops,T-Shirts,Men,L,Maroon,699.00,292.00,Core
P02-L-GREY,Polo T-Shirt,Tops,T-Shirts,Men,L,Grey,699.00,292.00,Core
P02-XL-NAVY,Polo T-Shirt,Tops,T-Shirts,Men,XL,Navy,699.00,292.00,Core
P02-XL-MAROON,Polo T-Shirt,Tops,T-Shirts,Men,XL,Maroon,699.00,292.00,Core
P02-XL-GREY,Polo T-Shirt,Tops,T-Shirts,Men,XL,Grey,699.00,292.00,Core
P03-30-NAVY,Slim Fit Jeans,Bottoms,Jeans,Men,30,Navy,1299.00,570.00,Core
P03-30-BLACK,Slim Fit Jeans,Bottoms,Jeans,Men,30,Black,1299.00,570.00,Core
P03-30-LIGHTBLU,Slim Fit Jeans,Bottoms,Jeans,Men,30,Light Blue,1299.00,570.00,Core
P03-32-NAVY,Slim Fit Jeans,Bottoms,Jeans,Men,32,Navy,1299.00,570.00,Core
P03-32-BLACK,Slim Fit Jeans,Bottoms,Jeans,Men,32,Black,1299.00,570.00,Core
P03-32-LIGHTBLU,Slim Fit Jeans,Bottoms,Jeans,Men,32,Light Blue,1299.00,570.00,Core
P03-34-NAVY,Slim Fit Jeans,Bottoms,Jeans,Men,34,Navy,1299.00,570.00,Core
P03-34-BLACK,Slim Fit Jeans,Bottoms,Jeans,Men,34,Black,1299.00,570.00,Core
P03-34-LIGHTBLU,Slim Fit Jeans,Bottoms,Jeans,Men,34,Light Blue,1299.00,570.00,Core
P03-36-NAVY,Slim Fit Jeans,Bottoms,Jeans,Men,36,Navy,1299.00,570.00,Core
P03-36-BLACK,Slim Fit Jeans,Bottoms,Jeans,Men,36,Black,1299.00,570.00,Core
P03-36-LIGHTBLU,Slim Fit Jeans,Bottoms,Jeans,Men,36,Light Blue,1299.00,570.00,Core
P04-30-BEIGE,Chino Trousers,Bottoms,Trousers,Men,30,Beige,1099.00,480.00,Core
P04-30-OLIVE,Chino Trousers,Bottoms,Trousers,Men,30,Olive,1099.00,480.00,Core
P04-30-NAVY,Chino Trousers,Bottoms,Trousers,Men,30,Navy,1099.00,480.00,Core
P04-32-BEIGE,Chino Trousers,Bottoms,Trousers,Men,32,Beige,1099.00,480.00,Core
P04-32-OLIVE,Chino Trousers,Bottoms,Trousers,Men,32,Olive,1099.00,480.00,Core
